system,backend,n_points,chart_time_s,per_point_us,t_std_s,mem_mb,n_wrong_Z
2nd-order, no delay,ODE Vern9 + root (default),10000,0.0534692,5.34692,0.003913490593191709,39.58486461639404,0
2nd-order, no delay,ODE Vern9, Z only,10000,0.0462808,4.62808,0.0073942676481853166,16.93404197692871,0
2nd-order, no delay,QuadGK, Z only,10000,0.0329529,3.29529,0.000592983466885883,26.93744945526123,0
2nd-order, no delay,fixed-step (500),10000,0.0362636,3.62636,0.0006222448770379738,0.8504743576049805,4324
4th-order + delay,ODE Vern9 + root (default),10000,0.4117167,41.17167,0.014564308565016055,40.28638744354248,0
4th-order + delay,ODE Vern9, Z only,10000,0.4088984,40.88984,0.015329836434482921,16.93402671813965,0
4th-order + delay,QuadGK, Z only,10000,0.1826387,18.263869999999997,0.0029064111572521915,38.220956802368164,0
4th-order + delay,fixed-step (500),10000,0.100865,10.0865,0.0024679585861598244,0.8504743576049805,4556
2-DOF DAE showcase,ODE Vern9 + root (default),10000,1.9024607,190.24607,0.024969037537878755,40.34943675994873,0
2-DOF DAE showcase,ODE Vern9, Z only,10000,1.8467072,184.67072,0.056442033356515396,16.93402671813965,0
2-DOF DAE showcase,QuadGK, Z only,10000,2.5994944,259.94944000000004,0.08198328949640903,406.6565237045288,0
2-DOF DAE showcase,fixed-step (500),10000,0.0834492,8.34492,0.001883571000254566,0.8504438400268555,6097
