method,show_resid_med,show_dsig_med,turn_resid_med,turn_dsig_med,time_per_point_s,overhead_pct
raw,0.20631653218192025,0.0068919741897843015,0.526076663686113,0.01287005792506867,0.00113983,0.0
Poly-2,8.506190207801772e-7,1.1733279294372234e-6,0.1181108240975243,0.002733746814880564,0.0012041,5.638560136160651
Poly-3,1.2587862607679318e-6,6.498969701458635e-7,0.048223584019922355,0.0010749570696892388,0.0014534888888888889,27.518041189378135
Newton-4,1.0017028386074652e-15,6.139093710610943e-7,0.11470185200196498,0.011637241019181906,0.0011322642857142858,-0.6637581293451043
Combined,1.0078238093814447e-15,6.139093710610943e-7,0.005543187921273195,0.0026170073984498714,0.00142445,24.97039032136371
