key,value
extraction_ratio_dev,7.096940512410915e-16
grid_nx,90
grid_ny,70
grid_time_s,1.2409999370574951
mdbm_time_s,3.2398827
robust_P,1.6082361769642752
robust_D,1.5464967052296996
robust_R_scaled,0.6081955171389647
p_stable_P,1.2584269662921348
p_stable_D,1.681159420289855
p_unstable_P,2.067415730337079
p_unstable_D,2.3405797101449277
Zraw_stable,3.624956350511965e-5
Zraw_unstable,2.0000336876845486
odesteps_stable,731
odesteps_unstable,944
