dP,sigma_est,Z_ode,Z_gk,res_ode,res_gk
0.01,0.0006556427980478062,4,4,1.6687599890818916e-5,4.0619274965791874e-7
0.0001,6.595379465430566e-6,4,4,1.6093447476883682e-5,4.061919369746647e-7
1.0e-6,6.595770377659362e-8,4,4,1.601029799225273e-5,4.0615445584535337e-7
1.0e-8,6.595772802068527e-10,3,4,9.170972353533813e-6,4.049400734729147e-7
1.0e-10,6.595755083754921e-12,3,4,9.2477165294369e-6,4.0150055502508053e-7
