tol,grid_time_s,mean_err,median_err,max_err,mean_over_tol,max_over_tol,n_uncertain,n_wrong_vs_ref,n_flip_vs_ref,n_points
0.01,0.7009999752044678,0.02746064206722836,0.009215588133235197,0.49755034741175463,2.746064206722836,49.755034741175464,210,349,89,8000
0.0001,1.2980000972747803,0.00017674655187861234,6.50488303507446e-5,0.03893120181699494,1.7674655187861232,389.3120181699494,0,1,0,8000
1.0e-6,2.0820000171661377,1.3844906937418966e-5,1.4547247802587648e-5,0.00013805297511693126,13.844906937418965,138.05297511693126,0,0,0,8000
